House.Number,Visit,House.Number.Visit,ac.type,season,In_mean,Out_mean,Date,Start_time
H02,V2,H02 V2,AC,Winter,1.7086505190311418,5.973702422145329,2022-11-21,2022-11-21T19:06:00Z
H02,V3,H02 V3,AC,Summer,3.278894472361809,5.816582914572864,2023-08-15,2023-08-15T18:13:00Z
H03,V1,H03 V1,AC,Summer,2.647798742138365,24.452830188679247,2022-07-27,2022-07-27T15:36:00Z
H03,V2,H03 V2,AC,Winter,0.5819397993311036,2.132107023411371,2022-12-08,2022-12-08T18:37:00Z
H03,V3,H03 V3,AC,Summer,6.980959097320169,10.066290550070521,2023-08-03,2023-08-03T13:21:00Z
H04,V1,H04 V1,AC,Summer,3.674518201284797,11.563882940756603,2022-07-28,2022-07-28T16:41:00Z
H04,V2,H04 V2,AC,Winter,1.031757233592096,29.988708539167256,2023-01-25,2023-01-25T16:41:00Z
H05,V2,H05 V2,AC,Winter,7.531360112755461,43.27413671599718,2023-02-02,2023-02-02T17:57:00Z
H05,V3,H05 V3,AC,Summer,6.222953904045156,16.57478833490122,2023-08-21,2023-08-21T17:56:00Z
H06,V1,H06 V1,AC,Summer,3.479768786127168,7.934971098265896,2022-08-01,2022-08-01T17:34:00Z
H06,V2,H06 V2,AC,Winter,5.917309039943938,5.299229152067274,2022-11-17,2022-11-17T10:35:00Z
H07,V1,H07 V1,AC,Summer,8.085488505747126,23.50574712643678,2022-08-03,2022-08-03T11:53:00Z
H07,V2,H07 V2,AC,Winter,3.0700416088765605,0.8280166435506241,2023-03-09,2023-03-09T19:19:00Z
H08,V1,H08 V1,AC,Summer,13.66554054054054,12.550675675675675,2022-08-09,2022-08-09T17:21:00Z
H08,V2,H08 V2,AC,Summer,16.906611570247932,33.51239669421488,2022-09-08,2022-09-08T17:25:00Z
H08,V3,H08 V3,AC,Winter,2.9432624113475176,4.085106382978723,2023-04-13,2023-04-13T17:24:00Z
